CAGR | ABB | Mar 2019 | fcf_cagr_5yr_flag=ZERO_BASE
CAGR | INDUSINDBK | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | INFY | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | IOC | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | IOC | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | IOC | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | IRCTC | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | IRFC | Mar 2021 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | IRFC | Mar 2022 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | IRFC | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | IRFC | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | JINDALSTEL | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | JINDALSTEL | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | JINDALSTEL | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | JINDALSTEL | Mar 2024 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | JSWENERGY | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | JSWENERGY | Mar 2024 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | JSWSTEEL | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | JSWSTEEL | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | JSWSTEEL | Mar 2024 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | KOTAKBANK | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | KOTAKBANK | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | KOTAKBANK | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | KOTAKBANK | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | KOTAKBANK | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | KOTAKBANK | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | KOTAKBANK | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | LODHA | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | LODHA | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | LT | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | LT | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | LT | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | LT | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | LT | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | LT | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | LT | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | M&M | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | M&M | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | M&M | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | M&M | Mar 2021 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | M&M | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | M&M | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | M&M | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | MARUTI | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | MOTHERSON | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | NAUKRI | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | NAUKRI | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | NAUKRI | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | NAUKRI | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | NAUKRI | Mar 2024 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | NTPC | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | NTPC | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | NTPC | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | NTPC | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | NTPC | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | NTPC | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ONGC | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | ONGC | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ONGC | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | PFC | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PFC | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PFC | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PFC | Mar 2021 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PFC | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PFC | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PIDILITIND | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | PIDILITIND | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | PNB | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | PNB | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | PNB | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | PNB | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | PNB | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | POWERGRID | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | POWERGRID | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | POWERGRID | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | POWERGRID | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | POWERGRID | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | POWERGRID | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | RECLTD | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RECLTD | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RECLTD | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RECLTD | Mar 2021 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RECLTD | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | RECLTD | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RECLTD | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RELIANCE | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | RELIANCE | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | RELIANCE | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | RELIANCE | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | RELIANCE | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | SBILIFE | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SBILIFE | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | SBILIFE | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | SBILIFE | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | SBILIFE | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SBIN | Mar 2018 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | SBIN | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHREECEM | Mar 2018 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | SHREECEM | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | SHREECEM | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | SHRIRAMFIN | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHRIRAMFIN | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHRIRAMFIN | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHRIRAMFIN | Mar 2021 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHRIRAMFIN | Mar 2022 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHRIRAMFIN | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SHRIRAMFIN | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | SIEMENS | Sep 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | SIEMENS | Sep 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | SUNPHARMA | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TATAMOTORS | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TATAMOTORS | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TATAMOTORS | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TATAMOTORS | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TATAMOTORS | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TATAMOTORS | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TATAPOWER | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TATAPOWER | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TATAPOWER | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TATASTEEL | Mar 2018 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TATASTEEL | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TATASTEEL | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TATASTEEL | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TITAN | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TITAN | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TITAN | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TORNTPHARM | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TORNTPHARM | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TORNTPHARM | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TRENT | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TRENT | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TRENT | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TRENT | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | TVSMOTOR | Mar 2018 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TVSMOTOR | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | TVSMOTOR | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TVSMOTOR | Mar 2022 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TVSMOTOR | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | TVSMOTOR | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | ADANIENSOL | Mar 2017 | revenue_cagr_3yr_flag=ZERO_BASE
CAGR | ADANIENSOL | Mar 2019 | revenue_cagr_5yr_flag=ZERO_BASE
CAGR | ADANIENSOL | Mar 2024 | revenue_cagr_10yr_flag=ZERO_BASE
CAGR | ADANIENSOL | Mar 2017 | pat_cagr_3yr_flag=ZERO_BASE
CAGR | ADANIENSOL | Mar 2018 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIGREEN | Mar 2020 | pat_cagr_3yr_flag=BOTH_NEGATIVE
CAGR | ADANIGREEN | Mar 2021 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIGREEN | Mar 2022 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIGREEN | Mar 2023 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIPOWER | Mar 2016 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIPOWER | Mar 2017 | pat_cagr_3yr_flag=BOTH_NEGATIVE
CAGR | ADANIPOWER | Mar 2018 | pat_cagr_3yr_flag=BOTH_NEGATIVE
CAGR | ADANIPOWER | Mar 2019 | pat_cagr_3yr_flag=DECLINE_TO_LOSS
CAGR | ADANIPOWER | Mar 2020 | pat_cagr_3yr_flag=BOTH_NEGATIVE
CAGR | ADANIPOWER | Mar 2021 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIPOWER | Mar 2022 | pat_cagr_3yr_flag=TURNAROUND
CAGR | ADANIPOWER | Mar 2023 | pat_cagr_3yr_flag=TURNAROUND
